Result code,Year,PDF link,Submitter,Level,Type,Title,Description,Lead contact person,Gender level,Climate change level,Nutrition tag level,Environmental biodiversity tag level,Poverty reduction tag level,Actors,Is KRS,KRS link,Legacy ID,Contributing initiatives,Non pooled projects,Primary center,Contributing centers,TOC results,Action Area Outcomes,Impact Area Target,SDG targets,Partners,Countries,Regions,Linked results,Evidence 1,Evidence 2,Evidence 3,Evidence 4,Evidence 5,Evidence 6,Action Area,similarity_score,input_text,model_name,Soil Health,Topic
2960,2022,https://reporting.cgiar.org/reports/result-details/2960?phase=1,INIT-19,Initiative output,Innovation development,Enhancing food and nutrition security through creating diversified and multifunctional home gardens in Ethiopian Highlands,Enhance household food security and nutrition and provide additional livelihood opportunities while maintaining the environment through homestead gardening,Degefie Tibebe,(0) Not Targeted,(1) Significant,Not applicable,Not applicable,Not applicable,,0,,,,,CIAT (Alliance),ILRI,,,,," • MEFCC - Ministry of Environment, Forest and Climate change (Ethiopia) [Innovation] - Ethiopia",Ethiopia,,,,,,,,,RAFS,0.3570252060890198,Enhancing food and nutrition security through creating diversified and multifunctional home gardens in Ethiopian Highlands Enhance household food security and nutrition and provide additional livelihood opportunities while maintaining the environment through homestead gardening,gpt-4.1,"Yes, the text discusses aspects that relate to the health of soils directly by mentioning maintaining the environment through homestead gardening, which typically involves practices that support soil health.",-1
11206,2023,https://reporting.cgiar.org/reports/result-details/11206?phase=3,INIT-22,Initiative output,Knowledge product,Situational analysis of Nyamagana Social-Ecological Landscape in the Cibitoke Province of Burundi,"In the developing world, the drivers behind changes in social ecological landscapes (SEL) are intricate and have been steadily intensifying over the years. Regions blessed with abundant natural resources, encompassing fertile soils, lush forests, freshwater bodies, valuable minerals, and more, tend to experience rapid population growth and heightened poverty rates. This often results in a heightened demand for essential livelihood components, including access to alternative livelihoods, education, food, healthcare, water, forest resources, housing, roads, and spaces for agriculture and aquaculture. Furthermore, the intersection of multiple national and global stakeholders continues to exert substantial pressure on exploiting natural resources at the sub-national level. To address the pervasive issue of land degradation, particularly in developing nations like Burundi, the implementation of landscape surveying and mapping emerges as a crucial tool. These methods provide valuable insights into ecosystem services and their interactions, paving the way for sustainable landscape conservation.
Employing the Driver-Pressure-State-Impact-Response (DPSIR) for Social-Ecological Landscape (SEL) assessment framework, a diverse array of methodologies was employed in the current study, with a focus on the sub-Nyamagana watershed on the Imbo plain in Burundi. This research aims to conduct a comprehensive situational analysis, shedding light on how drivers and pressures converge to define the state and impacts of SEL, while also emphasizing institutional and stakeholder responses. To delve deeper into the intricacies of the Nyamagana watershed, a complementary approach involving focus group discussions and individual questionnaires was undertaken. The survey covered a total of 166 households and six focus group discussions, each comprising twelve participants. The findings highlighted several factors and pressures, predominantly stemming from the intensive utilization of natural resources, as well as biotic and abiotic constraints such as drought, flooding, pests, diseases, and anthropogenic pressures like anarchic mining and rapid population growth. Of notable concern is the complexity of soil use and land cover, especially the widespread use of chemicals such as synthetic fertilizers and pesticides, which pose significant threats to ecosystem components. The social-ecological dynamics are characterized by a combination of ecological factors, including environmental disturbances like heavy rains, prolonged dry seasons, fires, deforestation, and climate change. The social component of the system encompasses all human activities, spanning the economy, technology, politics, and culture, that result in intricate interactions between communities and ecosystems.
Within the Nyamagana watershed, various institutions play a crucial role in landscape management, with identified stakeholders including research services (e.g., ISABU, IRRI, IITA, and Burundi University), extension services (e.g., BPEAE, NGOs, and projects), and policy entities (such as the local administration and mixed committees for water management). The study underscores the looming threats to biodiversity, livelihoods, and ecosystem processes, particularly in the provision of soil and irrigation water, due to soil erosion by landslide, unsustainable mining activities and the unsustainable utilization of natural resources. Addressing these challenges necessitates a comprehensive and collaborative approach involving both local and global stakeholders to foster sustainable development and conservation efforts.",Dr. Olufunke Cofi,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(1) Significant,,0,,,,,,IWMI,,Systems Transformation (5),"Climate Adaptation and Mitigation (4.1,4.2)","Goal 13: Climate Action (13.1,13.2)",• ISABU Burundi - Institut des Sciences Agronomiques du Burundi [Innovation] - Burundi,,,6042,https://hdl.handle.net/10568/139356,,,,,,Regional Integrated Initiative,0.3544164896011353,"Situational analysis of Nyamagana Social-Ecological Landscape in the Cibitoke Province of Burundi In the developing world, the drivers behind changes in social ecological landscapes (SEL) are intricate and have been steadily intensifying over the years. Regions blessed with abundant natural resources, encompassing fertile soils, lush forests, freshwater bodies, valuable minerals, and more, tend to experience rapid population growth and heightened poverty rates. This often results in a heightened demand for essential livelihood components, including access to alternative livelihoods, education, food, healthcare, water, forest resources, housing, roads, and spaces for agriculture and aquaculture. Furthermore, the intersection of multiple national and global stakeholders continues to exert substantial pressure on exploiting natural resources at the sub-national level. To address the pervasive issue of land degradation, particularly in developing nations like Burundi, the implementation of landscape surveying and mapping emerges as a crucial tool. These methods provide valuable insights into ecosystem services and their interactions, paving the way for sustainable landscape conservation.
Employing the Driver-Pressure-State-Impact-Response (DPSIR) for Social-Ecological Landscape (SEL) assessment framework, a diverse array of methodologies was employed in the current study, with a focus on the sub-Nyamagana watershed on the Imbo plain in Burundi. This research aims to conduct a comprehensive situational analysis, shedding light on how drivers and pressures converge to define the state and impacts of SEL, while also emphasizing institutional and stakeholder responses. To delve deeper into the intricacies of the Nyamagana watershed, a complementary approach involving focus group discussions and individual questionnaires was undertaken. The survey covered a total of 166 households and six focus group discussions, each comprising twelve participants. The findings highlighted several factors and pressures, predominantly stemming from the intensive utilization of natural resources, as well as biotic and abiotic constraints such as drought, flooding, pests, diseases, and anthropogenic pressures like anarchic mining and rapid population growth. Of notable concern is the complexity of soil use and land cover, especially the widespread use of chemicals such as synthetic fertilizers and pesticides, which pose significant threats to ecosystem components. The social-ecological dynamics are characterized by a combination of ecological factors, including environmental disturbances like heavy rains, prolonged dry seasons, fires, deforestation, and climate change. The social component of the system encompasses all human activities, spanning the economy, technology, politics, and culture, that result in intricate interactions between communities and ecosystems.
Within the Nyamagana watershed, various institutions play a crucial role in landscape management, with identified stakeholders including research services (e.g., ISABU, IRRI, IITA, and Burundi University), extension services (e.g., BPEAE, NGOs, and projects), and policy entities (such as the local administration and mixed committees for water management). The study underscores the looming threats to biodiversity, livelihoods, and ecosystem processes, particularly in the provision of soil and irrigation water, due to soil erosion by landslide, unsustainable mining activities and the unsustainable utilization of natural resources. Addressing these challenges necessitates a comprehensive and collaborative approach involving both local and global stakeholders to foster sustainable development and conservation efforts.",gpt-4.1,"Yes, the text discusses aspects that relate directly to the health of soils, such as soil erosion, land degradation, use of synthetic fertilizers and pesticides, and threats to soil provision and ecosystem processes.",-1
17731,2024,https://reporting.cgiar.org/reports/result-details/17731?phase=4,INIT-31,Initiative output,Capacity sharing for development,"2-day training of farmers of the Agroecological Living Landscape (ALL) in Mbire, Zimbabwe to plan and budget for the implementation of sustainable farming practices during the Sorghum planting season 2024-2025.","The budget consultative meetings, held on 7–8 November 2024, engaged three farmer groups—Shange (23 farmers), Sangojena (14 farmers), and Mazambara (24 farmers)—to discuss budgeting strategies ahead of the planting season. The meetings aimed to promote sustainable farming practices through collaborative planning. 

The training, facilitated by Paper Hole Investments (PHI) Farmers, included proposed adjustments such as reducing fertilizer inputs (A/N and basal), sourcing more affordable empty bags, revising transport costs, and substituting Cartap with Carbaryl. Each group developed resolutions tailored to their needs, with agreed-upon input volumes ranging from 22 to 28 bags. 

The discussions focused on balancing input affordability with reduced chemical reliance while maintaining productivity. Finalized input packages were prepared and delivered on 12 November 2024, with disbursements starting for farmers who signed the updated contracts. The entire process emphasized inclusivity, collaboration, and transparency to address farmer needs and improve contract fairness.",,(0) Not Targeted,(0) Not Targeted,(1) Significant,(1) Significant,(0) Not Targeted,,0,,,,,,CIMMYT,,,,"Goal 2: Zero Hunger (2.3,2.4)
Goal 1: No Poverty (1.1,1.4,1.5,1.b)
Goal 13: Climate Action (13.1)
Goal 6: Clean Water and Sanitation (6.2,6.4)
Goal 15: Life on Land (15.1,15.5)
Goal 8: Decent Work and Economic Growth (8.2)",• PHI - PHI commodities [Scaling] - Zimbabwe,Zimbabwe,,,,,,,,,ST,0.3524894714355469,"2-day training of farmers of the Agroecological Living Landscape (ALL) in Mbire, Zimbabwe to plan and budget for the implementation of sustainable farming practices during the Sorghum planting season 2024-2025. The budget consultative meetings, held on 7–8 November 2024, engaged three farmer groups—Shange (23 farmers), Sangojena (14 farmers), and Mazambara (24 farmers)—to discuss budgeting strategies ahead of the planting season. The meetings aimed to promote sustainable farming practices through collaborative planning. 

The training, facilitated by Paper Hole Investments (PHI) Farmers, included proposed adjustments such as reducing fertilizer inputs (A/N and basal), sourcing more affordable empty bags, revising transport costs, and substituting Cartap with Carbaryl. Each group developed resolutions tailored to their needs, with agreed-upon input volumes ranging from 22 to 28 bags. 

The discussions focused on balancing input affordability with reduced chemical reliance while maintaining productivity. Finalized input packages were prepared and delivered on 12 November 2024, with disbursements starting for farmers who signed the updated contracts. The entire process emphasized inclusivity, collaboration, and transparency to address farmer needs and improve contract fairness.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health, such as reducing fertilizer inputs and chemical reliance, which are key factors in maintaining or improving soil health.",-1
11775,2022,https://reporting.cgiar.org/reports/result-details/11775?phase=1,INIT-01,Initiative output,Knowledge product,Biodiversity of nematode communities associated with wheat (Triticum aestivum L.) in Southern Morocco and their contribution as soil health bioindicators,"Soil nematodes are major soil organisms known to reduce wheat production worldwide. However, they are a crucial part of soil biodiversity. Due to the limited data available regarding nematode biodiversity associated with cereal crops in Morocco, a survey was conducted in 2019 across 80 wheat fields. Thirty-three nematode taxa were obtained with different trophic groups: 11 bacterivores (i.e., Rhabditis and Cephalobus spp.), 11 herbivores (i.e., Pratylenchus and Heterodera spp.), 6 fungivores (i.e., Ditylenchus and Aphelenchoides spp.), 4 omnivores (i.e., Dorylaimus and Aporcelaimus spp.) and one predator (Mononchus spp.). For each locality, the diversity of nematode communities was assessed through multiple diversity indices. Three areas (Ait Melloul, Oulad Dahou, and Sidi Boushab) were more diversified and had pronounced nematode occurrence. Moreover, few localities (e.g., Ait Amira and Lqliaa) were shown to be disturbed. Our study underlined that several nematode taxa were significantly correlated with edaphic and climatic/geographic properties. On the other hand, the spatial and parsimony analyses revealed that plant feeders were most associated with bacterial feeders in disturbed soils. This work revealed that the soil nematodes associated with wheat crops are diverse and can serve as an important tool for soil biomonitoring at a large scale.",Tadesse Wuletaw,(1) Significant,(1) Significant,Not applicable,Not applicable,Not applicable,,0,,,,,,"CIMMYT, ICARDA",,"Systems Transformation (10)
Genetic Innovation (11,8)","Climate Adaptation and Mitigation (4.2,4.3)
Gender Equality, Youth and Social Inclusion (3.1,3.2)
Poverty Reduction, Livelihoods and Jobs (2.1)
Environmental Health and Biodiversity (5.1)
Nutrition, Health and Food Security (1.1)","Goal 2: Zero Hunger (2.1,2.2,2.3,2.4)
Goal 1: No Poverty (1.2,1.5)
Goal 13: Climate Action (13.1)
Goal 5: Gender Equality (5.5)",Marked as not applicable,Morocco,Central and West Asia and North Africa,,https://hdl.handle.net/10568/129089,,,,,,GI,0.3506806492805481,"Biodiversity of nematode communities associated with wheat (Triticum aestivum L.) in Southern Morocco and their contribution as soil health bioindicators Soil nematodes are major soil organisms known to reduce wheat production worldwide. However, they are a crucial part of soil biodiversity. Due to the limited data available regarding nematode biodiversity associated with cereal crops in Morocco, a survey was conducted in 2019 across 80 wheat fields. Thirty-three nematode taxa were obtained with different trophic groups: 11 bacterivores (i.e., Rhabditis and Cephalobus spp.), 11 herbivores (i.e., Pratylenchus and Heterodera spp.), 6 fungivores (i.e., Ditylenchus and Aphelenchoides spp.), 4 omnivores (i.e., Dorylaimus and Aporcelaimus spp.) and one predator (Mononchus spp.). For each locality, the diversity of nematode communities was assessed through multiple diversity indices. Three areas (Ait Melloul, Oulad Dahou, and Sidi Boushab) were more diversified and had pronounced nematode occurrence. Moreover, few localities (e.g., Ait Amira and Lqliaa) were shown to be disturbed. Our study underlined that several nematode taxa were significantly correlated with edaphic and climatic/geographic properties. On the other hand, the spatial and parsimony analyses revealed that plant feeders were most associated with bacterial feeders in disturbed soils. This work revealed that the soil nematodes associated with wheat crops are diverse and can serve as an important tool for soil biomonitoring at a large scale.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health, specifically through the use of nematode biodiversity as bioindicators of soil health.",-1
13097,2024,https://reporting.cgiar.org/reports/result-details/13097?phase=4,INIT-31,Initiative output,Capacity sharing for development,"Capacity sharing event in Ucayali, Peru on Agroforestry systems with cocoa for Governors Working Group for Climate and Forests","This event aimed to socialize the initiatives of the Colpa de Loros Agrarian Cooperative, a strategic partner of the Alliance, and was organized by the Regional Forestry and Wildlife Management of the Regional Government of Ucayali. The Agroecology Initiative shared capacities on strengthening the cocoa value chain from an agroecological approach, the evaluation and monitoring of soil health, as well as evidence on co-benefits of agroforestry systems and the development of methodologies for the collection and characterization of cocoa genetic material. In addition, the event participants discussed the formulation of an agroecological strengthening plan for the cooperative's business model and the development of an investment case for productive diversification aimed at obtaining traceable organic matter that serves as a source for the centralized production plant of fertilizers. The Agroecology Initiative highlighted the joint efforts to support the business in adapting to the new regulations of the European market, with the deforestation risk analysis and the deforestation alert system being two important tools that have been developed by the research center.​","Tristan, Maria Claudia (Alliance Bioversity-CIAT) <M.Tristan@cgiar.org>",(0) Not Targeted,(0) Not Targeted,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,,"Bioversity (Alliance), CIAT (Alliance), CIP",,,,"Goal 2: Zero Hunger (2.3,2.4)
Goal 1: No Poverty (1.1,1.4,1.5,1.b)
Goal 13: Climate Action (13.1)
Goal 6: Clean Water and Sanitation (6.2,6.4)
Goal 15: Life on Land (15.1,15.5)
Goal 8: Decent Work and Economic Growth (8.2)"," • Cooperativa Agraria de Cacao Aromatico Colpa de Loros [Demand, Innovation] - Peru",Peru,,,,,,,,,ST,0.3504494726657867,"Capacity sharing event in Ucayali, Peru on Agroforestry systems with cocoa for Governors Working Group for Climate and Forests This event aimed to socialize the initiatives of the Colpa de Loros Agrarian Cooperative, a strategic partner of the Alliance, and was organized by the Regional Forestry and Wildlife Management of the Regional Government of Ucayali. The Agroecology Initiative shared capacities on strengthening the cocoa value chain from an agroecological approach, the evaluation and monitoring of soil health, as well as evidence on co-benefits of agroforestry systems and the development of methodologies for the collection and characterization of cocoa genetic material. In addition, the event participants discussed the formulation of an agroecological strengthening plan for the cooperative's business model and the development of an investment case for productive diversification aimed at obtaining traceable organic matter that serves as a source for the centralized production plant of fertilizers. The Agroecology Initiative highlighted the joint efforts to support the business in adapting to the new regulations of the European market, with the deforestation risk analysis and the deforestation alert system being two important tools that have been developed by the research center.​",gpt-4.1,"Yes, the text discusses aspects that relate directly to the health of soils, specifically mentioning the evaluation and monitoring of soil health.",-1
14371,2024,https://reporting.cgiar.org/reports/result-details/14371?phase=4,INIT-31,Initiative output,Capacity sharing for development,"Workshop on soil health practices with associated farmers of national agrarian innovation center INIA, Ucayali, Peru","The activity was part of WP1 on Transdisciplinary co-creation of innovations in Agroecological Living Landscapes (ALLs). Associated farmers of the ""Instituto Nacional de Innovación"" Agraria INIA Ucayali participated in a soil workshop to learn practical methodologies to assess soil health. The 2-day training took place at the Ucayali Experimental Center, Peru, on September 11-12, 2024.","Sanchez, Jose Gerardo (Alliance Bioversity-CIAT) <J.G.Sanchez@cgiar.org>",(0) Not Targeted,(0) Not Targeted,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,,"Bioversity (Alliance), CIAT (Alliance), CIP",,,,"Goal 2: Zero Hunger (2.3,2.4)
Goal 1: No Poverty (1.1,1.4,1.5,1.b)
Goal 13: Climate Action (13.1)
Goal 6: Clean Water and Sanitation (6.2,6.4)
Goal 15: Life on Land (15.1,15.5)
Goal 8: Decent Work and Economic Growth (8.2)"," • INIA - National Institute of Agricultural Innovation / Instituto Nacional de Innovación Agraria [Scaling, Innovation] - Peru",Peru,,,,,,,,,ST,0.6110141277313232,"Workshop on soil health practices with associated farmers of national agrarian innovation center INIA, Ucayali, Peru The activity was part of WP1 on Transdisciplinary co-creation of innovations in Agroecological Living Landscapes (ALLs). Associated farmers of the ""Instituto Nacional de Innovación"" Agraria INIA Ucayali participated in a soil workshop to learn practical methodologies to assess soil health. The 2-day training took place at the Ucayali Experimental Center, Peru, on September 11-12, 2024.",gpt-4.1,"Yes, the text speaks about soil health and discusses aspects that relate directly to the health of soils.",0
12116,2024,https://reporting.cgiar.org/reports/result-details/12116?phase=4,INIT-14,Initiative output,Capacity sharing for development,"Training for producers on plot diagnosis to improve agricultural practices and soil health, in the community of Guayacan, El Paraíso, Honduras","A plot diagnosis was carried out with the participation of producers and technicians, who conducted a soil test to observe the soil horizons. Through field tests, the biological, physical and chemical characteristics of the soil were identified. The results showed a pH of 6 and an excellent amount of organic matter in the first layer (up to 35 cm). This type of training is important to improve agricultural practices and promote soil health in the region.","Oscar Martinez, o.martinez@cgiar.org",(1) Significant,(1) Significant,(1) Significant,(1) Significant,(1) Significant,,0,,,,,CIAT (Alliance),,,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)",Marked as not applicable,Honduras,,,,,,,,,Regional Integrated Initiative,0.6009894609451294,"Training for producers on plot diagnosis to improve agricultural practices and soil health, in the community of Guayacan, El Paraíso, Honduras A plot diagnosis was carried out with the participation of producers and technicians, who conducted a soil test to observe the soil horizons. Through field tests, the biological, physical and chemical characteristics of the soil were identified. The results showed a pH of 6 and an excellent amount of organic matter in the first layer (up to 35 cm). This type of training is important to improve agricultural practices and promote soil health in the region.",gpt-4.1,"Yes, the text directly discusses soil health and aspects related to the health of soils.",0
10534,2023,https://reporting.cgiar.org/reports/result-details/10534?phase=3,INIT-14,Initiative output,Capacity sharing for development,"Field Day: Characterization of physical and chemical properties of soil, El Paraíso, Honduras","This workshop aimed to impart knowledge to producers in Danlí, El Paraíso. The execution of this activity allowed participants to learn about physical parameters (Texture, Structure, Infiltration, Compaction) and chemical aspects of the soil (pH, Organic Matter). Additionally, a field diagnosis exercise was conducted where participants applied the topics covered in practice on their plots",Oscar Martinez,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,CIAT (Alliance),,,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)",• ARSAGRO - Asociación Regional de Servicios Agropecuarios de Oriente [Demand] - Honduras,Honduras,,,,,,,,,Regional Integrated Initiative,0.592726469039917,"Field Day: Characterization of physical and chemical properties of soil, El Paraíso, Honduras This workshop aimed to impart knowledge to producers in Danlí, El Paraíso. The execution of this activity allowed participants to learn about physical parameters (Texture, Structure, Infiltration, Compaction) and chemical aspects of the soil (pH, Organic Matter). Additionally, a field diagnosis exercise was conducted where participants applied the topics covered in practice on their plots",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health, specifically the physical and chemical properties of soil.",0
15933,2024,https://reporting.cgiar.org/reports/result-details/15933?phase=4,INIT-14,Initiative output,Capacity sharing for development,"Theoretical and practical training for producers on soil diagnostics and its importance in agricultural production systems, held in the locality of San José Monteverde, municipality of San Antonino Monteverde, Mexico.","During this training, 21 men and 23 women from the community of San José Monteverde, San Antonino Monteverde, Oaxaca, participated. The session began with an explanation of what soil diagnostics are. It was explained that soil analysis is crucial for determining multiple parameters, such as physical and chemical content, texture, soil profile, pH levels, organic matter presence, and root depth. A practical session was conducted to identify these parameters.",,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,,CIMMYT,,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)"," • FONDO PARA LA PAZ [Scaling, Innovation] - Mexico",Mexico,,,,,,,,,Regional Integrated Initiative,0.5572819709777832,"Theoretical and practical training for producers on soil diagnostics and its importance in agricultural production systems, held in the locality of San José Monteverde, municipality of San Antonino Monteverde, Mexico. During this training, 21 men and 23 women from the community of San José Monteverde, San Antonino Monteverde, Oaxaca, participated. The session began with an explanation of what soil diagnostics are. It was explained that soil analysis is crucial for determining multiple parameters, such as physical and chemical content, texture, soil profile, pH levels, organic matter presence, and root depth. A practical session was conducted to identify these parameters.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health.",0
10156,2023,https://reporting.cgiar.org/reports/result-details/10156?phase=3,INIT-14,Initiative output,Capacity sharing for development,"Training with producers on water, soil, forest, and soil profile. Guayacan Community, Danli, El Paraiso, Honduras","The objective of this activity was to raise awareness about the importance of agents such as water and soil. As part of the practice, a soil pit was excavated to examine the soil profile, as well as its physical and chemical characteristics such as pH, coverage, conductivity, and organic matter. This served to determine the appropriate management that should be applied to the soil.",,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,CIAT (Alliance),,,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)",• ARSAGRO - Asociación Regional de Servicios Agropecuarios de Oriente [Innovation] - Honduras,Honduras,,,,,,,,,Regional Integrated Initiative,0.545600175857544,"Training with producers on water, soil, forest, and soil profile. Guayacan Community, Danli, El Paraiso, Honduras The objective of this activity was to raise awareness about the importance of agents such as water and soil. As part of the practice, a soil pit was excavated to examine the soil profile, as well as its physical and chemical characteristics such as pH, coverage, conductivity, and organic matter. This served to determine the appropriate management that should be applied to the soil.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health, such as examining soil physical and chemical characteristics (pH, coverage, conductivity, organic matter) and determining appropriate soil management.",0
16090,2024,https://reporting.cgiar.org/reports/result-details/16090?phase=4,INIT-14,Initiative output,Capacity sharing for development,"Training on soil management and care for local producers in the community of La Primavera, Danlí, El Paraíso, Honduras","The training on soil management and care was carried out in the community of La Primavera, Danlí, El Paraíso, with the participation of 15 local producers, of which 40% were women and 60% men. During the training, key practices and strategies to protect and improve soil quality were addressed, focusing on the importance of soil conservation for environmental well-being and agricultural productivity. Local producers learned about the relationship between soil, water and forest, and how these three components are interconnected to ensure the sustainability of natural resources.",Oscar Martinez,(0) Not Targeted,(1) Significant,(1) Significant,(1) Significant,(0) Not Targeted,,0,,,,,,CIAT (Alliance),,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)",Marked as not applicable,Honduras,,,,,,,,,Regional Integrated Initiative,0.543183445930481,"Training on soil management and care for local producers in the community of La Primavera, Danlí, El Paraíso, Honduras The training on soil management and care was carried out in the community of La Primavera, Danlí, El Paraíso, with the participation of 15 local producers, of which 40% were women and 60% men. During the training, key practices and strategies to protect and improve soil quality were addressed, focusing on the importance of soil conservation for environmental well-being and agricultural productivity. Local producers learned about the relationship between soil, water and forest, and how these three components are interconnected to ensure the sustainability of natural resources.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health, such as soil management, care, conservation, and improving soil quality.",0
9630,2023,https://reporting.cgiar.org/reports/result-details/9630?phase=3,INIT-14,Initiative output,Capacity sharing for development,"Training event for producers on plot diagnoses, San Francisco Escuapa, Danli, El Paradiso, Honduras","For this workshop, various evaluations were conducted using a soil pit for a detailed analysis of soil horizons, including the measurement of several fundamental parameters such as pH, organic matter, electrical conductivity, infiltration, percentage of coverage, among others.",Oscar Amado,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,CIAT (Alliance),,,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)",• ARSAGRO - Asociación Regional de Servicios Agropecuarios de Oriente [Innovation] - Honduras,Honduras,,,,,,,,,Regional Integrated Initiative,0.541716992855072,"Training event for producers on plot diagnoses, San Francisco Escuapa, Danli, El Paradiso, Honduras For this workshop, various evaluations were conducted using a soil pit for a detailed analysis of soil horizons, including the measurement of several fundamental parameters such as pH, organic matter, electrical conductivity, infiltration, percentage of coverage, among others.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health.",0
10158,2023,https://reporting.cgiar.org/reports/result-details/10158?phase=3,INIT-14,Initiative output,Capacity sharing for development,"Training with local producers on soil, Water, Forest. Sabana Redonda Community, Potrerillos, El Paraiso, Honduras","The objective of this activity was to raise awareness among producers about the importance of agents such as water and soil. As part of the practice, a soil pit was excavated to examine the soil profile, as well as its physical and chemical characteristics such as pH, coverage, conductivity, and organic matter. This served to determine the appropriate management that should be applied to the soil",,(0) Not Targeted,(1) Significant,(0) Not Targeted,(1) Significant,(0) Not Targeted,,0,,,,,CIAT (Alliance),,,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)",• ARSAGRO - Asociación Regional de Servicios Agropecuarios de Oriente [Innovation] - Honduras,Honduras,,,,,,,,,Regional Integrated Initiative,0.539314866065979,"Training with local producers on soil, Water, Forest. Sabana Redonda Community, Potrerillos, El Paraiso, Honduras The objective of this activity was to raise awareness among producers about the importance of agents such as water and soil. As part of the practice, a soil pit was excavated to examine the soil profile, as well as its physical and chemical characteristics such as pH, coverage, conductivity, and organic matter. This served to determine the appropriate management that should be applied to the soil",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health, such as soil profile, pH, coverage, conductivity, organic matter, and appropriate soil management.",0
12649,2024,https://reporting.cgiar.org/reports/result-details/12649?phase=4,INIT-14,Initiative output,Capacity sharing for development,"Training: Field Diagnosis Workshop to producers and technicians in Lomas Abajo, Municipality of San Jacinto, Department of Chiquimula, Guatemala","For the workshop with technicians and producers, we traveled to the community of Lomas Abajo in the municipality of San Jacinto, Chiquimula. We gathered at a plot to conduct a plot diagnostic activity, where we assessed the current soil conditions through soil pit excavation, examined pest presence, disease, crop nutrition, and slope measurement using the “A” frame to determine soil conservation measures, among other factors to consider before implementing the Conservation Agriculture system. The current soil conditions and crop management were discussed, and participants' questions were addressed during the workshop.",,(1) Significant,(1) Significant,(1) Significant,(1) Significant,(1) Significant,,0,,,,,,"CIAT (Alliance), CIMMYT",,,,"Goal 2: Zero Hunger (2.1)
Goal 1: No Poverty (1.2)
Goal 13: Climate Action (13.2)
Goal 5: Gender Equality (5.b)
Goal 15: Life on Land (15.1)",Marked as not applicable,Guatemala,,,,,,,,,Regional Integrated Initiative,0.5327825546264648,"Training: Field Diagnosis Workshop to producers and technicians in Lomas Abajo, Municipality of San Jacinto, Department of Chiquimula, Guatemala For the workshop with technicians and producers, we traveled to the community of Lomas Abajo in the municipality of San Jacinto, Chiquimula. We gathered at a plot to conduct a plot diagnostic activity, where we assessed the current soil conditions through soil pit excavation, examined pest presence, disease, crop nutrition, and slope measurement using the “A” frame to determine soil conservation measures, among other factors to consider before implementing the Conservation Agriculture system. The current soil conditions and crop management were discussed, and participants' questions were addressed during the workshop.",gpt-4.1,"Yes, the text discusses aspects that relate directly to soil health, such as assessing current soil conditions, soil pit excavation, crop nutrition, and soil conservation measures.",0
